面积（平方米）,价格（元/月）,类别
32.18,2200,0
52,1500,0
114,4500,2
85,2300,0
68.64,1800,0
90,1100,0
93,2600,0
96.28,1500,0
75,1600,0
90,1500,0
85.58,3200,2
89.05,2600,0
46,2500,0
110.28,5800,2
53,1500,0
60,1900,0
239,10000,1
87,2100,0
40,1600,0
50,2000,0
55,1300,0
78,2000,0
78,1250,0
50,1500,0
70,1700,0
53.41,1800,0
35,2300,0
37,1300,0
72,1700,0
30.85,1700,0
40,1600,0
100,1500,0
49.3,2100,0
115,3500,2
58.89,3300,2
88,1500,0
84,1350,0
40,1700,0
55,2300,0
90,1400,0
25,1400,0
90,1200,0
102,4000,2
58,3600,2
220,13500,1
42.3,1800,0
35,2200,0
57.99,1500,0
90,1000,0
118.94,2100,0
40,1100,0
63.07,2000,0
95,3800,2
75,1500,0
40.16,2100,0
51,3300,2
95,1300,0
30,1300,0
62.76,2800,0
73,3500,2
37.23,1300,0
167,3300,2
40.32,1600,0
108.53,5400,2
74,1800,0
70,1500,0
92,2500,0
67,1050,0
45,900,0
64,1600,0
58,1700,0
42,1150,0
93,1500,0
91.67,2500,0
72,2000,0
88.96,2000,0
40,1100,0
40,1900,0
65,1600,0
46,1700,0
86.61,1400,0
38,1900,0
40,2000,0
60,1500,0
49,850,0
51,1200,0
66,1850,0
88.85,2300,0
31.72,1100,0
90,1800,0
69.42,4100,2
40,2490,0
59.62,2000,0
35,1650,0
47,1750,0
89,1000,0
30,1400,0
55,2600,0
72,850,0
44.33,1400,0
30,1500,0
52,1800,0
35,1200,0
39,2400,0
41.78,1700,0
93,1100,0
69.36,1500,0
116,1650,0
80,1600,0
50.41,2200,0
75.6,2500,0
40.69,1200,0
70.53,1700,0
47,2300,0
110,1550,0
67.88,3500,2
56.28,3200,2
93,1800,0
60,1100,0
48,2200,0
42,850,0
53,1700,0
30,2000,0
42,2300,0
50,2500,0
52.17,2700,0
54,3800,2
49.35,1600,0
102.78,2500,0
41,1300,0
76.69,5200,2
41,1500,0
89,3500,2
