FID,NAME,KIND
833,天津铁道职业技术学院,A700
834,史各庄初级中学,A703
835,金龙幼儿园,A701
836,引河里小学,A702
837,四百户中心小学,A702
838,蓟县桑梓镇刘家顶中学,A703
839,天穆小学,A702
840,东丽区第一幼儿园,A701
841,香山道小学分校,A702
842,华辰学校,A703
843,河东二十一幼壮壮园,A701
844,天津新闻出版职业培训学校,A709
845,天津市美术学校,A708
846,河北十三幼,A701
847,芦台镇第三小学,A702
848,河东区嵩山道小学,A702
849,天津市汉沽区高庄中学,A703
850,汉沽区高庄小学,A702
851,西芦庄初级中学,A703
852,河西区第六幼儿园,A701
853,天津电大财贸分校,A700
854,天津立达职专,A708
855,三八幼儿园,A701
856,胡连庄中学,A703
857,天津电力幼儿园,A701
858,大港区小王庄联校,A702
859,天津市河东区启智学校,A709
860,金摇篮亲子园,A701
861,南开区委党校,A700
862,河东区职工大学分校,A700
863,天津市中山志成职专,A708
864,河北区育婴里小学,A702
865,天津渤海职专,A708
866,中心幼儿园,A701
867,滨湖小学,A702
868,牛道口镇塘头小学,A702
869,归宁屯中心小学,A702
870,蓟县桑梓镇桑梓初级中学,A703
871,桑梓中心小学,A702
872,杜吉素小学,A702
873,刘吉素小学,A702
874,天津市北门东中学南区,A703
875,魏良庄完全小学,A702
876,天津商业大学南院,A700
877,天津市河西区职工大学,A700
878,河东区二号桥小学,A702
879,河东区第二十四幼儿园,A701
880,河西区第二十九幼儿园,A701
881,天津工业大学和平校区,A700
882,沟头学校,A702
883,天津现代艺术职专,A708
884,东丽区实验小学,A702
885,岳阳道小学北院,A702
886,天津市北辰区王庄小学,A702
887,吴咀村小学校,A702
888,河北区实验小学狮子林校区,A702
889,河西区第二十八幼儿园,A701
890,天津海运职业学院,A700
891,大港油田实验中学,A703
892,天津瑞金国际学校,A703
893,红桥区第十九幼儿园,A701
894,窦庄子中学,A703
895,天津市教委党组党校,A700
896,天津劳动保障技师学院,A700
897,天津市沙井子学校,A703
898,宁河县卫生干部进修学校,A709
899,路华中学分校,A703
900,蓟县康各庄中学,A703
901,尤古庄镇小学,A702
902,蓟县尤古庄镇中心幼儿园,A701
903,蓟县西塔庄初级中学,A703
904,黄沙务小学,A702
905,天津市河东区东新幼儿园,A701
906,河东二十三幼,A701
907,连云路小学,A702
908,天津二中培训部,A709
909,大许庄中心小学,A702
910,崇化中学,A703
911,宁河县芦台第四中学,A703
912,新立村中心小学,A702
913,滨海琴行艺术培训学校开发区分校,A709
914,汉沽区委党校,A700
915,天津职业技术师大附属高级技校,A708
916,天津市东丽中学,A703
917,南开十九幼,A701
918,河北区劳动技术教育中心,A709
919,月牙河小学,A702
